id,text,obfuscatedText,mechanism,epsilon
156493,do goldfish grow,do goldfish grow,CMP,17.5
1110199,what is wifi vs bluetooth,think is wifi vs bluetooth,CMP,17.5
1063750,why did the us volunterilay enter ww1,why disliked the us opprobrium enter ww1,CMP,17.5
130510,definition declaratory judgment,definition declaratory judgment,CMP,17.5
489204,right pelvic pain causes,right pelvic pain causes,CMP,17.5
573724,what are the social determinants of health,where are as social determinants of health,CMP,17.5
1133167,how is the weather in jamaica,how is the weather within jamaica,CMP,17.5
527433,types of dysarthria from cerebral palsy,types of dysarthria from cerebral palsy,CMP,17.5
1037798,who is robert gray,who is robert gray,CMP,17.5
915593,what types of food can you cook sous vide,comes essentially of food do you cook sous vide,CMP,17.5
264014,how long is life cycle of flea,learn long is life cycle of flea,CMP,17.5
1121402,what can contour plowing reduce,is can contour plowing delay,CMP,17.5
962179,when was the salvation army founded,when was the salvation army founded,CMP,17.5
1117099,what is a active margin,what is a active margin,CMP,17.5
148538,difference between rn and bsn,difference between rn started bsn,CMP,17.5
451602,medicare's definition of mechanical ventilation,grandest daoyu of mechanical ventilation,CMP,17.5
359349,how to find the midsegment of a trapezoid,how enable find the sleeps of instance trapezoid,CMP,17.5
1115776,what is an aml surveillance analyst,understand is an aml surveillance analyst,CMP,17.5
1112341,what is the daily life of thai people,what is the daily life of thai people,CMP,17.5
131843,definition of a sigmet,definition of a terephthalic,CMP,17.5
104861,cost of interior concrete flooring,cost of interior concrete flooring,CMP,17.5
833860,what is the most popular food in switzerland,better is the most popular food in switzerland,CMP,17.5
207786,how are some sharks warm blooded,how are everything sharks warm blooded,CMP,17.5
1132213,how long to hold bow in yoga,how long to hold bow in yoga,CMP,17.5
1114819,what is durable medical equipment consist of,what is durable medical footwear consist bidding,CMP,17.5
183378,exons definition biology,exons definition biology,CMP,17.5
1106007,define visceral?,define defined,CMP,17.5
1124210,tracheids are part of _____.,tracheids all part of snorkelling,CMP,17.5
287683,how many liberty ships were built in brunswick,how caused liberty ships were constructed governments brunswick,CMP,17.5
490595,rsa definition key,rsa definition reinforcing,CMP,17.5
1103812,who formed the commonwealth of independent states,who instrumental the commonwealth of independent united,CMP,17.5
87181,causes of left ventricular hypertrophy,causing of left ventricular hypertrophy,CMP,17.5
443396,lps laws definition,lps laws definition,CMP,17.5
87452,causes of military suicide,causes of military suicide,CMP,17.5
855410,what is theraderm used for,determined is rhaunen used for,CMP,17.5
1114646,what is famvir prescribed for,_ is famvir prescribed for,CMP,17.5
19335,anthropological definition of environment,anthropological definition another environment,CMP,17.5
47923,axon terminals or synaptic knob definition,axon terminals or synaptic knob characterize,CMP,17.5
405717,is cdg airport in main paris,is cdg airport in main paris,CMP,17.5
182539,example of monotonic function,phenomenon of monotonic function,CMP,17.5
1113437,what is physical description of spruce,what is physical description of spruce,CMP,17.5
1129237,hydrogen is a liquid below what temperature,hydrogen is a liquid below what temperature,CMP,17.5
146187,difference between a mcdouble and a double cheeseburger,difference between a impregnated and a while cheeseburger,CMP,17.5
