id,text,obfuscatedText,mechanism,epsilon
156493,do goldfish grow,do yanked 1.78,Mahalanobis,12.5
1110199,what is wifi vs bluetooth,do is wifi vs 802.11,Mahalanobis,12.5
1063750,why did the us volunterilay enter ww1,do mandatory great 3.67 21pts ričardas sixpack,Mahalanobis,12.5
130510,definition declaratory judgment,offence declaratory plaintiffs,Mahalanobis,12.5
489204,right pelvic pain causes,grabbing pelvic ` obesity,Mahalanobis,12.5
573724,what are the social determinants of health,convinced kennebecasis military social determinants produced health,Mahalanobis,12.5
1133167,how is the weather in jamaica,those family villeneuve aka activity paddison,Mahalanobis,12.5
527433,types of dysarthria from cerebral palsy,involving delisle verity fine-grained gerardus palsy,Mahalanobis,12.5
1037798,who is robert gray,"tzippi is 30,800 southwestern",Mahalanobis,12.5
915593,what types of food can you cook sous vide,arsenis drava of food societe you vess sous vide,Mahalanobis,12.5
264014,how long is life cycle of flea,idea shorter be life tayebi-ye black 87.90,Mahalanobis,12.5
1121402,what can contour plowing reduce,tierra uri crossover plowing imbalances,Mahalanobis,12.5
962179,when was the salvation army founded,created flagship richard acmi armies where,Mahalanobis,12.5
1117099,what is a active margin,prophecy is megachurch itzá member-at-large,Mahalanobis,12.5
148538,difference between rn and bsn,ability between rn fire bsn,Mahalanobis,12.5
451602,medicare's definition of mechanical ventilation,leterme become trechus varese ventilation,Mahalanobis,12.5
359349,how to find the midsegment of a trapezoid,gillispie to '' kept blackbelt our restaurant silvercup,Mahalanobis,12.5
1115776,what is an aml surveillance analyst,unaired third-oldest incestuous binjai surveillance analyst,Mahalanobis,12.5
1112341,what is the daily life of thai people,what cyberspace 10:15 chinese refreshing such gaziantep :,Mahalanobis,12.5
131843,definition of a sigmet,may snf vice nebriinae,Mahalanobis,12.5
104861,cost of interior concrete flooring,once maryport interior beige marrufo,Mahalanobis,12.5
833860,what is the most popular food in switzerland,century a columban most work stepparent réunion ubs,Mahalanobis,12.5
207786,how are some sharks warm blooded,off ilnur some fyoo opposition blooded,Mahalanobis,12.5
1132213,how long to hold bow in yoga,"shikolenko fernando urumqi 42,500 bow in yoga",Mahalanobis,12.5
1114819,what is durable medical equipment consist of,carnal lane durable medical neorealist commonly democratic,Mahalanobis,12.5
183378,exons definition biology,final alternate biology,Mahalanobis,12.5
1106007,define visceral?,leavers deptula,Mahalanobis,12.5
1124210,tracheids are part of _____.,panderers targeting in lydiard noncompact,Mahalanobis,12.5
287683,how many liberty ships were built in brunswick,danna four liberty shimanouchi deputies basilica in yearbook,Mahalanobis,12.5
490595,rsa definition key,rsa 5.46 islamabad,Mahalanobis,12.5
1103812,who formed the commonwealth of independent states,who politicus overseers commonwealth year independent glinojeck,Mahalanobis,12.5
87181,causes of left ventricular hypertrophy,pelée held kuangwei ventricular hypertrophy,Mahalanobis,12.5
443396,lps laws definition,62.71 fa spp.,Mahalanobis,12.5
87452,causes of military suicide,cause pembroke any attack,Mahalanobis,12.5
855410,what is theraderm used for,many molesworth www.nasa.gov levels teng,Mahalanobis,12.5
1114646,what is famvir prescribed for,me is stanichev prescribed farmers,Mahalanobis,12.5
19335,anthropological definition of environment,anthropological mythology promised growingly,Mahalanobis,12.5
47923,axon terminals or synaptic knob definition,cyprien acuna 8.43 synaptic astrolabe odoacer,Mahalanobis,12.5
405717,is cdg airport in main paris,european cdg okinawa norwegian their paris,Mahalanobis,12.5
182539,example of monotonic function,manufacturers captured unreciprocated mas,Mahalanobis,12.5
1113437,what is physical description of spruce,"mckeon australian ainsdale fangxiao pallant 86,400",Mahalanobis,12.5
1129237,hydrogen is a liquid below what temperature,pakistanis is sikhs liquid brel zaiqing temperature,Mahalanobis,12.5
146187,difference between a mcdouble and a double cheeseburger,adrenal between a dollars tuku holders c-7 emmerson,Mahalanobis,12.5
