id,text,obfuscatedText,mechanism,epsilon
156493,do goldfish grow,fusai renderos 150-seat,VickreyCMP,1
1110199,what is wifi vs bluetooth,giftedness akinfeyev 176.85 mejjati reutilization,VickreyCMP,1
1063750,why did the us volunterilay enter ww1,moiré usachev igpa tuol ordinal 7/32 ----------------------------------------------,VickreyCMP,1
130510,definition declaratory judgment,samiul monophyletic 4689,VickreyCMP,1
489204,right pelvic pain causes,participle 0-40 geostationary mccoys,VickreyCMP,1
573724,what are the social determinants of health,balikatan neverland roeper edw polynomials clendenning pelecaniformes,VickreyCMP,1
1133167,how is the weather in jamaica,icasualties.org 4g ettridge mushahid tawhid isambard,VickreyCMP,1
527433,types of dysarthria from cerebral palsy,thousandfold ahmidan fdch jianxing qwilleran aex,VickreyCMP,1
1037798,who is robert gray,76101 ibda xichang u.s.-hosted,VickreyCMP,1
915593,what types of food can you cook sous vide,schmieding minireviews kempson guofeng netwatch biko geometridae of-5 panyarachun,VickreyCMP,1
264014,how long is life cycle of flea,dsm-iv focac undercounted velenje sadeek odd-numbered kiyosaki,VickreyCMP,1
1121402,what can contour plowing reduce,"iccat 5-megawatt banpu 2,026 rhythmic",VickreyCMP,1
962179,when was the salvation army founded,begums rm25 22-22 saute decile gminas,VickreyCMP,1
1117099,what is a active margin,"3,197 18/36 hùng certiorari season-by-season",VickreyCMP,1
148538,difference between rn and bsn,widowers spratlys &amp; frazioni http://www.defenselink.mil,VickreyCMP,1
451602,medicare's definition of mechanical ventilation,mairead 11/24 milanka petacchi sse-30,VickreyCMP,1
359349,how to find the midsegment of a trapezoid,sportsperson salpingidis etkes nuthatches kalima selector hoogenboom ykkönen,VickreyCMP,1
1115776,what is an aml surveillance analyst,"sangatte polytope 5,507 ajai 78.19 aortic",VickreyCMP,1
1112341,what is the daily life of thai people,wah resend duma moamer rugbyu euna stormers gastein,VickreyCMP,1
131843,definition of a sigmet,aqap bse-30 bataan woredas,VickreyCMP,1
104861,cost of interior concrete flooring,http://www.fda.gov 5-megawatt a.m.-5 coxnet faran,VickreyCMP,1
833860,what is the most popular food in switzerland,1966-76 klinghoffer icasualties.org gmail 212-556-1927 jensby kille sejong,VickreyCMP,1
207786,how are some sharks warm blooded,"bencher euna emas 1cup 1,000-member seguso",VickreyCMP,1
1132213,how long to hold bow in yoga,mayakoba dlj .846 mahmudullah businesseurope trandahl dortiz,VickreyCMP,1
1114819,what is durable medical equipment consist of,20-yards kroell hrdy carriles milanka postmarked shaul,VickreyCMP,1
183378,exons definition biology,http://www.house.gov 99.0 fdch,VickreyCMP,1
1106007,define visceral?,vibhushan hural,VickreyCMP,1
1124210,tracheids are part of _____.,mabhuh hrdy weick 67-run forma,VickreyCMP,1
287683,how many liberty ships were built in brunswick,obec teaspoon bse-30 soldiers advancers folic süper councils,VickreyCMP,1
490595,rsa definition key,chrono choson parganas,VickreyCMP,1
1103812,who formed the commonwealth of independent states,hipc 8-dot retin hausdorff homeway mazeroski all-filipino,VickreyCMP,1
87181,causes of left ventricular hypertrophy,riemannian 11/24 khalq sending/receiving forex.com,VickreyCMP,1
443396,lps laws definition,qinghong odula long-legged,VickreyCMP,1
87452,causes of military suicide,arundhati sfgate.com tornado syre,VickreyCMP,1
855410,what is theraderm used for,taepodong-2 nets fonua gatopoulos 30-sept,VickreyCMP,1
1114646,what is famvir prescribed for,chandraswami depositary oradour http://advisories.nytsyn.com/ g.d.,VickreyCMP,1
19335,anthropological definition of environment,norvasc unpredep couey 0-19,VickreyCMP,1
47923,axon terminals or synaptic knob definition,eighteens no-hitters 12/16 middle-market trs-80 nisoor,VickreyCMP,1
405717,is cdg airport in main paris,http://www.census.gov 103.9 dahir wonderbras diphtheria --------------------,VickreyCMP,1
182539,example of monotonic function,belmarsh antiharassment 78-day ungreased,VickreyCMP,1
1113437,what is physical description of spruce,sail-driven compensatory stuffit skiers ancestral excommunicates,VickreyCMP,1
1129237,hydrogen is a liquid below what temperature,okrugs w.a.k.o. ungreased supersymmetric non-lgbt 0pts ba2,VickreyCMP,1
146187,difference between a mcdouble and a double cheeseburger,"225-issue sse-30 gce colspan drawsko 64,500 7.9-magnitude valea",VickreyCMP,1
