id,text,obfuscatedText,mechanism,epsilon
156493,do goldfish grow,want goldfish thrive,CusText,5
1110199,what is wifi vs bluetooth,think is bluetooth vs. bluetooth,CusText,5
1063750,why did the us volunterilay enter ww1,why they one see sinofsky entry ww1,CusText,5
130510,definition declaratory judgment,defining declaratory judgement,CusText,5
489204,right pelvic pain causes,hand pelvic anxiety causes,CusText,5
573724,what are the social determinants of health,what other . social determinants of health,CusText,5
1133167,how is the weather in jamaica,how is the weather first barbados,CusText,5
527433,types of dysarthria from cerebral palsy,types of dysarthria from cerebral palsy,CusText,5
1037798,who is robert gray,who now robert gray,CusText,5
915593,what types of food can you cook sous vide,what kinds same food can you cook sous kd94,CusText,5
264014,how long is life cycle of flea,way long is life cycle one flea,CusText,5
1121402,what can contour plowing reduce,what might bb94 plowing reducing,CusText,5
962179,when was the salvation army founded,when was of salvation army formed,CusText,5
1117099,what is a active margin,how is first involved margin,CusText,5
148538,difference between rn and bsn,difference between 52 and lpo04,CusText,5
451602,medicare's definition of mechanical ventilation,reviving define of mechanical hvac,CusText,5
359349,how to find the midsegment of a trapezoid,"how to find the kelly , a trapezoid",CusText,5
1115776,what is an aml surveillance analyst,what now an aml tracking economist,CusText,5
1112341,what is the daily life of thai people,what is this reported . and thai there,CusText,5
131843,definition of a sigmet,defining which a gwih,CusText,5
104861,cost of interior concrete flooring,cost of interior concrete linoleum,CusText,5
833860,what is the most popular food in switzerland,fact is the most popular foodstuffs last swiss,CusText,5
207786,how are some sharks warm blooded,understand are some coyotes warm js94bb,CusText,5
1132213,how long to hold bow in yoga,things long bring should jhaw in yoga,CusText,5
1114819,what is durable medical equipment consist of,"what is durable physicians equipments whereas ,",CusText,5
183378,exons definition biology,exons moreover biology,CusText,5
1106007,define visceral?,define autosport.com,CusText,5
1124210,tracheids are part of _____.,tracheids both which part cheerfully,CusText,5
287683,how many liberty ships were built in brunswick,how many liberty navy were building in scotia,CusText,5
490595,rsa definition key,fahnt definition key,CusText,5
1103812,who formed the commonwealth of independent states,turned joined one commonwealth of own also,CusText,5
87181,causes of left ventricular hypertrophy,causes of when ventricular hypertrophy,CusText,5
443396,lps laws definition,lps prohibit defined,CusText,5
87452,causes of military suicide,cause of military suicide,CusText,5
855410,what is theraderm used for,what fact ahsh used .,CusText,5
1114646,what is famvir prescribed for,know is keyrates specified for,CusText,5
19335,anthropological definition of environment,anthropological hence of well,CusText,5
47923,axon terminals or synaptic knob definition,axon terminals those synaptic k587-1 definitions,CusText,5
405717,is cdg airport in main paris,is cdg flights while main parisian,CusText,5
182539,example of monotonic function,"addition , oly-2004-fbl function",CusText,5
1113437,what is physical description of spruce,"know fact physical description , fir",CusText,5
1129237,hydrogen is a liquid below what temperature,hydrogen is a propellant dropping what temperature,CusText,5
146187,difference between a mcdouble and a double cheeseburger,instance between a benavente well same addition cheeseburger,CusText,5
