id,text,obfuscatedText,mechanism,epsilon
156493,do goldfish grow,do goldfish grow,SanText,17.5
1110199,what is wifi vs bluetooth,what is wifi vs bluetooth,SanText,17.5
1063750,why did the us volunterilay enter ww1,why did the us televisora enter ww1,SanText,17.5
130510,definition declaratory judgment,definition declaratory judgment,SanText,17.5
489204,right pelvic pain causes,right pelvic pain causes,SanText,17.5
573724,what are the social determinants of health,what are the social determinants of health,SanText,17.5
1133167,how is the weather in jamaica,how is the weather in jamaica,SanText,17.5
527433,types of dysarthria from cerebral palsy,types of dysarthria from cerebral palsy,SanText,17.5
1037798,who is robert gray,who is robert gray,SanText,17.5
915593,what types of food can you cook sous vide,what types of food can you cook sous vide,SanText,17.5
264014,how long is life cycle of flea,how long is life cycle of flea,SanText,17.5
1121402,what can contour plowing reduce,what can contour plowing reduce,SanText,17.5
962179,when was the salvation army founded,when was the salvation army founded,SanText,17.5
1117099,what is a active margin,what is a active margin,SanText,17.5
148538,difference between rn and bsn,difference between rn and bsn,SanText,17.5
451602,medicare's definition of mechanical ventilation,miraa definition of mechanical ventilation,SanText,17.5
359349,how to find the midsegment of a trapezoid,how to find the flier of a trapezoid,SanText,17.5
1115776,what is an aml surveillance analyst,what is an aml surveillance analyst,SanText,17.5
1112341,what is the daily life of thai people,what is the daily life of thai people,SanText,17.5
131843,definition of a sigmet,definition of a corteo,SanText,17.5
104861,cost of interior concrete flooring,cost of interior concrete flooring,SanText,17.5
833860,what is the most popular food in switzerland,what is the most popular food in switzerland,SanText,17.5
207786,how are some sharks warm blooded,how are some sharks warm blooded,SanText,17.5
1132213,how long to hold bow in yoga,how long to hold bow in yoga,SanText,17.5
1114819,what is durable medical equipment consist of,what is durable medical equipment consist of,SanText,17.5
183378,exons definition biology,exons definition biology,SanText,17.5
1106007,define visceral?,define nusa,SanText,17.5
1124210,tracheids are part of _____.,tracheids are part of eidelberg,SanText,17.5
287683,how many liberty ships were built in brunswick,how many liberty ships were built in brunswick,SanText,17.5
490595,rsa definition key,rsa definition key,SanText,17.5
1103812,who formed the commonwealth of independent states,who formed the commonwealth of independent states,SanText,17.5
87181,causes of left ventricular hypertrophy,causes of left ventricular hypertrophy,SanText,17.5
443396,lps laws definition,lps laws definition,SanText,17.5
87452,causes of military suicide,causes of military suicide,SanText,17.5
855410,what is theraderm used for,what is sheremetev used for,SanText,17.5
1114646,what is famvir prescribed for,what is famvir prescribed for,SanText,17.5
19335,anthropological definition of environment,anthropological definition of environment,SanText,17.5
47923,axon terminals or synaptic knob definition,axon terminals or synaptic knob definition,SanText,17.5
405717,is cdg airport in main paris,is cdg airport in main paris,SanText,17.5
182539,example of monotonic function,example of monotonic function,SanText,17.5
1113437,what is physical description of spruce,what is physical description of spruce,SanText,17.5
1129237,hydrogen is a liquid below what temperature,hydrogen is a liquid below what temperature,SanText,17.5
146187,difference between a mcdouble and a double cheeseburger,difference between a 1221 and a double cheeseburger,SanText,17.5
