id,text,obfuscatedText,mechanism,epsilon
156493,do goldfish grow,ismailli lubuk second-largest,TEM,1
1110199,what is wifi vs bluetooth,jmckim@globe.com marvelous artifact .14 harmala,TEM,1
1063750,why did the us volunterilay enter ww1,alwars rothberg phenocrysts daiquiri mcwhinney artist/writer kaval,TEM,1
130510,definition declaratory judgment,ricchetti duduk yanina,TEM,1
489204,right pelvic pain causes,encarnacion near-infrared wongsuwan 28.21,TEM,1
573724,what are the social determinants of health,ny109 gs300 http://www.customs.gov.cn satanists dirigo kaganate 12:59,TEM,1
1133167,how is the weather in jamaica,.287 subcaudals sáez equaliser out-of-pocket posit,TEM,1
527433,types of dysarthria from cerebral palsy,26s reinecke cartillier out-of-phase paskai mormugao,TEM,1
1037798,who is robert gray,mig-21 weixing lathem druce,TEM,1
915593,what types of food can you cook sous vide,mulawin puga fisc non-flammable bowen verandahs steyn cembalo thermophilus,TEM,1
264014,how long is life cycle of flea,118.95 embodiments underexposed thrombospondin blalack apologetic wolfberry,TEM,1
1121402,what can contour plowing reduce,3h subtracting never-completed boyishly karches,TEM,1
962179,when was the salvation army founded,cranbrook 135.65 gidi chongming 972 rares,TEM,1
1117099,what is a active margin,inter-denominational hamiota ragazza horsfield talktalk,TEM,1
148538,difference between rn and bsn,inconspicuous foreseen 1.3965 reveles electro-funk,TEM,1
451602,medicare's definition of mechanical ventilation,13-second sadecki willowemoc then-undefeated poborsky,TEM,1
359349,how to find the midsegment of a trapezoid,berthieu shushtar champe toadie gechem 33-24 transparently alcatraz,TEM,1
1115776,what is an aml surveillance analyst,rayl stanica sub-prime neem innes 2158,TEM,1
1112341,what is the daily life of thai people,"audrey fasters kishtwar 2,251 populate askatasuna bayham baluchis",TEM,1
131843,definition of a sigmet,nozze hondarribia herries f-22s,TEM,1
104861,cost of interior concrete flooring,kabila breathless 2-0-16-0 otley 49.80,TEM,1
833860,what is the most popular food in switzerland,brandished calarts bookstar genuflecting express-news powershell concessions bwitched,TEM,1
207786,how are some sharks warm blooded,sauze tral bidet polyrhythmic barawe senda,TEM,1
1132213,how long to hold bow in yoga,tatsuno tjandra dubov nemo mantles sevugan yawl,TEM,1
1114819,what is durable medical equipment consist of,"2,741 outram kvens chicharrones nectarios bibel granville",TEM,1
183378,exons definition biology,kutkai reconfigurable honeybaked,TEM,1
1106007,define visceral?,duronto drakkar,TEM,1
1124210,tracheids are part of _____.,uberoi pacsun raggett angamos orbicularis,TEM,1
287683,how many liberty ships were built in brunswick,soucek leone i-vtec 1753 japanese-americans resettled mohiyedine banarasi,TEM,1
490595,rsa definition key,"3,506 intelectual ideacentre",TEM,1
1103812,who formed the commonwealth of independent states,"janja r.d. wehbe descendance 4:10 9,200 jennie",TEM,1
87181,causes of left ventricular hypertrophy,"libidinous thambwe 4,854 binning hsb",TEM,1
443396,lps laws definition,daxin fayfi opala,TEM,1
87452,causes of military suicide,censers hardie mss xiangcheng,TEM,1
855410,what is theraderm used for,80.46 redefine queralt 300c streetpass,TEM,1
1114646,what is famvir prescribed for,culte matronymic myklebost 66.01 ruthwell,TEM,1
19335,anthropological definition of environment,fascination unwholesome unique institutione,TEM,1
47923,axon terminals or synaptic knob definition,"wst minas navalar stitchers 3,781 tigue",TEM,1
405717,is cdg airport in main paris,qalaat 33-1-53-05-76-55 علي holyoake zoki sonate,TEM,1
182539,example of monotonic function,ammanai solvberg borie 2.670,TEM,1
1113437,what is physical description of spruce,sloss mongrels loueke luhaibi bil ivrea,TEM,1
1129237,hydrogen is a liquid below what temperature,kvitne popover surfaced jean-michel vaugrenard trzebinia 84-70,TEM,1
146187,difference between a mcdouble and a double cheeseburger,hewson dostoevski manak thromde signalbox khadir odobescu brandino,TEM,1
