id,text,obfuscatedText,mechanism,epsilon
156493,do goldfish grow,minya ibex-35 60-hour,Mahalanobis,1
1110199,what is wifi vs bluetooth,deveined 27.80 apnewsalert drbombay opposite-sex,Mahalanobis,1
1063750,why did the us volunterilay enter ww1,woreda hebrides cercone mbit/s nuthatches saffir u.n.-backed,Mahalanobis,1
130510,definition declaratory judgment,http://www.usdoj.gov fourth-round intf,Mahalanobis,1
489204,right pelvic pain causes,broiler grabez grasscourt 0-19,Mahalanobis,1
573724,what are the social determinants of health,frazioni mcmellon expectable near-earth comex ouaer dellape,Mahalanobis,1
1133167,how is the weather in jamaica,hah shaara eupithecia drays 31-june skn,Mahalanobis,1
527433,types of dysarthria from cerebral palsy,riaj pre-julian gbr linenger bourda pssas,Mahalanobis,1
1037798,who is robert gray,officership 100.00 bencher mullaitivu,Mahalanobis,1
915593,what types of food can you cook sous vide,"26.95 southern-central county tamla intertech kah harteveldt jelen 5,048.62",Mahalanobis,1
264014,how long is life cycle of flea,artiodactyl south-eastern strossen sofres oxidoreductases duties 850-word,Mahalanobis,1
1121402,what can contour plowing reduce,"5,048.62 sankuru 147.27 100-share excommunicates",Mahalanobis,1
962179,when was the salvation army founded,.857 u.s.-iraqi 009908 nxt asiax inversionistas,Mahalanobis,1
1117099,what is a active margin,list-a river air-breathing .563 finex,Mahalanobis,1
148538,difference between rn and bsn,murrah yayuk 78.19 moazzam palaeographically,Mahalanobis,1
451602,medicare's definition of mechanical ventilation,aadt 0-3-1 university boulgou nonsubscribers,Mahalanobis,1
359349,how to find the midsegment of a trapezoid,near-earth rangebound information kyran josephthal rdavis hatikvah gahl,Mahalanobis,1
1115776,what is an aml surveillance analyst,par-5 vysočina thundershowers cpap 30-share pojaman,Mahalanobis,1
1112341,what is the daily life of thai people,all-ireland bizima oxidoreductases adobo 750-800 rah sse-30 medal-winning,Mahalanobis,1
131843,definition of a sigmet,marceca non-fifa woolmer hennekens,Mahalanobis,1
104861,cost of interior concrete flooring,coxohio.com dr. hrdy trivoli resend,Mahalanobis,1
833860,what is the most popular food in switzerland,abrashi cruise tendai candidating sivits techsavvy minister 600-word,Mahalanobis,1
207786,how are some sharks warm blooded,bershawn manufacture-on-demand sirikit cpu nonacademic ventricular,Mahalanobis,1
1132213,how long to hold bow in yoga,denberg flyers paleographically comprado mon afb trogons,Mahalanobis,1
1114819,what is durable medical equipment consist of,heptathlete conac beutel enterovirus nungesser asia/oceania james,Mahalanobis,1
183378,exons definition biology,budennovsk non-obligatory palaeographically,Mahalanobis,1
1106007,define visceral?,koufodinas e-kot,Mahalanobis,1
1124210,tracheids are part of _____.,spewed mazoka muhlegg sulla untraded,Mahalanobis,1
287683,how many liberty ships were built in brunswick,ap.org wilburys vitantonio josé mazraeh-ye 212-556-4204 venkataraghavan cantuta,Mahalanobis,1
490595,rsa definition key,xiannian reduced-price rangebound,Mahalanobis,1
1103812,who formed the commonwealth of independent states,finex us bse-100 juanico asymptotic security crutsinger,Mahalanobis,1
87181,causes of left ventricular hypertrophy,manalich leisel 河東 in-a-row galois,Mahalanobis,1
443396,lps laws definition,ruey saomai pre-julian,Mahalanobis,1
87452,causes of military suicide,nzse40 merial e-2c 22-day,Mahalanobis,1
855410,what is theraderm used for,seed-eaters andriyanto milanka kurtenbach anfal,Mahalanobis,1
1114646,what is famvir prescribed for,""" eurodollar highjump oblast magistrate",Mahalanobis,1
19335,anthropological definition of environment,tanzanite bleated hy sending/receiving,Mahalanobis,1
47923,axon terminals or synaptic knob definition,sentai dj02 īn palaeographically philadelphi non-mandatory,Mahalanobis,1
405717,is cdg airport in main paris,verifiably finl cadastral indwelling ftse-100 needletrades,Mahalanobis,1
182539,example of monotonic function,taepodong-2 television-related anatidae kapitalanlagegesellschaft,Mahalanobis,1
1113437,what is physical description of spruce,faiez 1-800-535-4425 gracillariidae protein highjump alasdair,Mahalanobis,1
1129237,hydrogen is a liquid below what temperature,ordinaries shehhi poll eurodollar ap.org 20.27 tokdo,Mahalanobis,1
146187,difference between a mcdouble and a double cheeseburger,southee elitserien panchayats hydrolases berrick unalienable soiusa podlaska,Mahalanobis,1
